GenusSpecies,ConGenus,ConFamily,ConOrder,ConClass,ConPhylum,Superkingdom,GrowthRate,RateUnit,OptimumTemp,TempUnit,AverageVolume,VolumeUnit,Sources,Notes
[Clostridium] alkalicellulosi,Ruminiclostridium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,4.09E-06,s^-1,35,Celsius,4.52E-19,m^3,"corkrey, engqvist, gold, bergeys","112, 555, 12331"
[Clostridium] paradoxum,NA,Peptostreptococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2.45E-05,s^-1,56,Celsius,1.88E-18,m^3,"corkrey, engqvist, gold, rrndb","465, 555, 12331, 18748"
[Clostridium] stercorarium,Ruminiclostridium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1.40E-06,s^-1,62.083,Celsius,2.19E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, rrndb","70, 555, 6030, 7312, 8334, 8406, 12331, 12751, 16309, 16389, 18701, 18707, 18723"
[Clostridium] termitidis,Ruminiclostridium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,5.91E-06,s^-1,37,Celsius,9.49E-19,m^3,"corkrey, engqvist, gold, microbe-directory, patric, bergeys","21, 555, 12331, 18701, 18707"
[Clostridium] ultunense,NA,Tissierellaceae,Tissierellales,Tissierellia,Firmicutes,Bacteria,1.23E-06,s^-1,37,Celsius,2.76E-17,m^3,"corkrey, engqvist, gold, microbe-directory, patric, bergeys","116, 555, 12331, 18701, 18707"
[Haemophilus] ducreyi,Haemophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria,4.34E-05,s^-1,36,Celsius,3.11E-19,m^3,"bacdive-microa, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva, bergeys","1, 555, 4593, 7774, 4576, 12331, 13016, 14185, 18701, 18707, 18718, 18723, 18863"
Acetanaerobacterium elongatum,Acetanaerobacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1.24E-05,s^-1,37,Celsius,4.17E-19,m^3,"corkrey, fierer, gold","128, 558, 12331"
Acetobacterium carbinolicum,Acetobacterium,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1.05E-05,s^-1,25.326,Celsius,1.16E-18,m^3,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,pg.894
Acetobacterium fimetarium,Acetobacterium,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,4.14E-05,s^-1,30.035,Celsius,1.37E-18,m^3,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,pg.894
Acetomicrobium mobile,Acetomicrobium,Synergistaceae,Synergistales,Synergistia,Synergistetes,Bacteria,5.06E-06,s^-1,56.25,Celsius,1.21E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, protraits, rrndb","464, 555, 5494, 12331, 12337, 16044, 18701, 18718, 18723"
Acetonema longum,Acetonema,Sporomusaceae,Selenomonadales,Negativicutes,Firmicutes,Bacteria,2.41E-06,s^-1,31.5,Celsius,3.16E-18,m^3,"corkrey, engqvist, gold, microbe-directory, bergeys","104, 555, 12331, 18701"
