"ConPhylum","GenusSpecies","ConGenus","ConFamily","ConOrder","ConClass","Superkingdom","GrowthRate","RateUnit","Optimum.Temp","TempUnit","AverageVolume","VolumeUnit","Sources","Notes","OptimumTemp","arrhenius_tmp","TempPref","x","y","z","r.sqr","a","RE","p_volume","p_temp","E","TCorrected_GrowthRate"
"1","Euryarchaeota","Methanococcus voltae","Methanococcus","Methanococcaceae","Methanococcales","Methanococci","Archaea",2.32e-05,"s^-1",38,"Celsius",5.61e-18,"m^3","corkrey, engqvist, genbank, gold, jemma-refseq, kegg, methanogen, microbe-directory, patric, protraits, rrndb","503, 555, 4530, 12331, 13251, 15176, 18610, 18701, 18707, 18718, 18723",311.15,37.2840368768952,"Mesophile",-10.671358279292,-39.7219809543582,37.2840368768952,0.104411321961235,0.095226936402367,0.171614963009721,0.148782864288959,0.000527668220954619,-0.171614963009721,3.86060480014674e-08
"2","Euryarchaeota","Haloarcula vallismortis","Haloarcula","Haloarculaceae","Halobacteriales","Halobacteria","Archaea",1.02e-05,"s^-1",42.5,"Celsius",2.68e-18,"m^3","corkrey, engqvist, gold, microbe-directory, bergeys","149, 555, 12331, 18701",315.65,36.7525045913066,"Mesophile",-11.493122837674,-40.4607148793701,36.7525045913066,0.104411321961235,0.095226936402367,0.171614963009721,0.148782864288959,0.000527668220954619,-0.171614963009721,1.85944524958326e-08
"3","Euryarchaeota","Methanolobus vulcani","Methanolobus","Methanosarcinaceae","Methanosarcinales","Methanomicrobia","Archaea",9.03e-06,"s^-1",40,"Celsius",1.49e-18,"m^3","engqvist, gold, methanogen","555, 12331, 18649",313.15,37.0459143357686,"Mesophile",-11.6149581905354,-41.0477555539355,37.0459143357686,0.104411321961235,0.095226936402367,0.171614963009721,0.148782864288959,0.000527668220954619,-0.171614963009721,1.56531852717378e-08
"4","Euryarchaeota","Methanosaeta concilii","Methanosaeta","Methanosaetaceae","Methanosarcinales","Methanomicrobia","Archaea",8.81e-07,"s^-1",37.5,"Celsius",3.16e-18,"m^3","engqvist, genbank, gold, jemma-refseq, kegg, methanogen, microbe-directory, rrndb","555, 5439, 12331, 13262, 15384, 18663, 18701, 18723",310.65,37.3440465934201,"Mesophile",-13.9422082110102,-40.295959646294,37.3440465934201,0.104411321961235,0.095226936402367,0.171614963009721,0.148782864288959,0.000527668220954619,-0.171614963009721,1.45101084956088e-09
"5","Euryarchaeota","Methanothermus fervidus","Methanothermus","Methanothermaceae","Methanobacteriales","Methanobacteria","Archaea",1.29e-06,"s^-1",83.25,"Celsius",1.81e-19,"m^3","corkrey, engqvist, genbank, gold, jemma-refseq, kegg, methanogen, microbe-directory, patric, protraits, rrndb","419, 555, 5097, 12331, 13282, 15269, 18696, 18701, 18707, 18718, 18723",356.4,32.550303238625,"Mesophile",-13.5608683395907,-43.1557899216091,32.550303238625,0.104411321961235,0.095226936402367,0.171614963009721,0.148782864288959,0.000527668220954619,-0.171614963009721,4.83692124104262e-09
"6","Euryarchaeota","Methanosarcina vacuolata","Methanosarcina","Methanosarcinaceae","Methanosarcinales","Methanomicrobia","Archaea",6.86e-06,"s^-1",38,"Celsius",3.53e-18,"m^3","corkrey, engqvist, genbank, gold, jemma-refseq, kegg, methanogen, rrndb","350, 555, 6405, 12331, 13275, 17523, 18679, 18723",311.15,37.2840368768952,"Mesophile",-11.8898031162265,-40.1852338029476,37.2840368768952,0.104411321961235,0.095226936402367,0.171614963009721,0.148782864288959,0.000527668220954619,-0.171614963009721,1.14154090211236e-08
"7","Euryarchaeota","Halobacterium salinarum","Halobacterium","Halobacteriaceae","Halobacteriales","Halobacteria","Archaea",1.04e-05,"s^-1",45.292,"Celsius",5.52e-19,"m^3","corkrey, engqvist, fierer, genbank, gold, jemma-refseq, kegg, microbe-directory, pasteur, patric, protraits, rrndb, silva, bergeys","149, 555, 1917, 4634, 7755, 12331, 13030, 14093, 14701, 18701, 18707, 18718, 18764, 18723, 18866",318.442,36.4302701096148,"Mesophile",-11.4737047518169,-42.0407389065979,36.4302701096148,0.104411321961235,0.095226936402367,0.171614963009721,0.148782864288959,0.000527668220954619,-0.171614963009721,2.00370213078018e-08
"8","Euryarchaeota","Methanobrevibacter curvatus","Methanobrevibacter","Methanobacteriaceae","Methanobacteriales","Methanobacteria","Archaea",2.41e-06,"s^-1",30,"Celsius",1.35e-19,"m^3","engqvist, gold, methanogen","555, 12331, 18584",303.15,38.2679468060232,"Mesophile",-12.9358838104617,-43.4490121744365,38.2679468060232,0.104411321961235,0.095226936402367,0.171614963009721,0.148782864288959,0.000527668220954619,-0.171614963009721,3.38728850704142e-09
"9","Euryarchaeota","Methanoculleus palmolei","Methanoculleus","Methanomicrobiaceae","Methanomicrobiales","Methanomicrobia","Archaea",3.45e-06,"s^-1",40,"Celsius",4.49e-18,"m^3","corkrey, engqvist, gold, methanogen","27, 555, 12331, 18620",313.15,37.0459143357686,"Mesophile",-12.577136326921,-39.9446789721387,37.0459143357686,0.104411321961235,0.095226936402367,0.171614963009721,0.148782864288959,0.000527668220954619,-0.171614963009721,5.98045284468388e-09
"10","Euryarchaeota","Methanosarcina thermophila","Methanosarcina","Methanosarcinaceae","Methanosarcinales","Methanomicrobia","Archaea",3.4e-06,"s^-1",52.5,"Celsius",8.38e-18,"m^3","engqvist, genbank, gold, jemma-refseq, kegg, methanogen, rrndb","555, 6400, 7202, 12331, 13274, 17595, 17596, 18678, 18723",325.65,35.6239154744233,"Mesophile",-12.5917351263422,-39.3206837593988,35.6239154744233,0.104411321961235,0.095226936402367,0.171614963009721,0.148782864288959,0.000527668220954619,-0.171614963009721,7.52276513275967e-09
"11","Euryarchaeota","Methanothermococcus thermolithotrophicus","Methanothermococcus","Methanococcaceae","Methanococcales","Methanococci","Archaea",9.28e-06,"s^-1",65,"Celsius",3.53e-18,"m^3","engqvist, gold, methanogen, microbe-directory","555, 12331, 18695, 18701",338.15,34.3070473879815,"Mesophile",-11.5876490111662,-40.1852338029476,34.3070473879815,0.104411321961235,0.095226936402367,0.171614963009721,0.148782864288959,0.000527668220954619,-0.171614963009721,2.57391751788048e-08
"12","Euryarchaeota","Methanoculleus marisnigri","Methanoculleus","Methanomicrobiaceae","Methanomicrobiales","Methanomicrobia","Archaea",1.5e-05,"s^-1",22.75,"Celsius",2.3e-18,"m^3","corkrey, engqvist, genbank, gold, jemma-refseq, kegg, methanogen, microbe-directory, patric, protraits, rrndb","353, 555, 4980, 12331, 13254, 14516, 18619, 18701, 18707, 18718, 18723",295.9,39.2055697000539,"Mesophile",-11.1074603568621,-40.6136225509577,39.2055697000539,0.104411321961235,0.095226936402367,0.171614963009721,0.148782864288959,0.000527668220954619,-0.171614963009721,1.79491558546899e-08
"13","Euryarchaeota","Methanobacterium subterraneum","Methanobacterium","Methanobacteriaceae","Methanobacteriales","Methanobacteria","Archaea",1.34e-05,"s^-1",30,"Celsius",1.05e-20,"m^3","corkrey, engqvist, genbank, gold, methanogen","225, 555, 7004, 12331, 18577",303.15,38.2679468060232,"Mesophile",-11.2202558510074,-46.0029116957115,38.2679468060232,0.104411321961235,0.095226936402367,0.171614963009721,0.148782864288959,0.000527668220954619,-0.171614963009721,1.88338863047116e-08
"14","Euryarchaeota","Methanosaeta thermophila","Methanosaeta","Methanosaetaceae","Methanosarcinales","Methanomicrobia","Archaea",3.98e-07,"s^-1",57.5,"Celsius",4.4e-18,"m^3","engqvist, genbank, gold, kegg, methanogen, microbe-directory, patric, protraits","555, 4816, 12331, 14456, 18663, 18701, 18707, 18718",330.65,35.0852202457158,"Mesophile",-14.736813831662,-39.9649271329686,35.0852202457158,0.104411321961235,0.095226936402367,0.171614963009721,0.148782864288959,0.000527668220954619,-0.171614963009721,9.65898261791977e-10
"15","Euryarchaeota","Methanobacterium palustre","Methanobacterium","Methanobacteriaceae","Methanobacteriales","Methanobacteria","Archaea",5.04e-06,"s^-1",35,"Celsius",7.04e-19,"m^3","corkrey, engqvist, gold, methanogen","444, 555, 12331, 18576",308.15,37.6470163045463,"Mesophile",-12.198104475881,-41.7975085967169,37.6470163045463,0.104411321961235,0.095226936402367,0.171614963009721,0.148782864288959,0.000527668220954619,-0.171614963009721,7.88033212271566e-09
"16","Euryarchaeota","Methanolobus oregonensis","Methanolobus","Methanosarcinaceae","Methanosarcinales","Methanomicrobia","Archaea",7.89e-06,"s^-1",36,"Celsius",1.57e-18,"m^3","corkrey, engqvist, gold, methanogen","424, 555, 12331, 18644",309.15,37.525240414834,"Mesophile",-11.7499144231065,-40.9954560545326,37.525240414834,0.104411321961235,0.095226936402367,0.171614963009721,0.148782864288959,0.000527668220954619,-0.171614963009721,1.25969997196807e-08
"17","Euryarchaeota","Methanocorpusculum bavaricum","Methanocorpusculum","Methanocorpusculaceae","Methanomicrobiales","Methanomicrobia","Archaea",1.22e-05,"s^-1",37,"Celsius",1.05e-18,"m^3","corkrey, engqvist, gold, methanogen","412, 555, 12331, 18612",310.15,37.4042497960533,"Mesophile",-11.3140746062251,-41.3977415097234,37.4042497960533,0.104411321961235,0.095226936402367,0.171614963009721,0.148782864288959,0.000527668220954619,-0.171614963009721,1.98869211211142e-08
"18","Euryarchaeota","Methanimicrococcus blatticola","Methanimicrococcus","Methanosarcinaceae","Methanosarcinales","Methanomicrobia","Archaea",1.66e-05,"s^-1",39,"Celsius",5.36e-19,"m^3","corkrey, engqvist, gold, methanogen","436, 555, 12331, 18656",312.15,37.1645941830721,"Mesophile",-11.0061078626018,-42.0701527918042,37.1645941830721,0.104411321961235,0.095226936402367,0.171614963009721,0.148782864288959,0.000527668220954619,-0.171614963009721,2.81953626206601e-08
"19","Euryarchaeota","Methanocaldococcus jannaschii","Methanocaldococcus","Methanocaldococcaceae","Methanococcales","Methanococci","Archaea",3.91e-06,"s^-1",85,"Celsius",3.53e-18,"m^3","corkrey, engqvist, genbank, gold, jemma-refseq, kegg, methanogen, microbe-directory, patric, protraits, rrndb, silva","237, 555, 4622, 12331, 13241, 14061, 18598, 18701, 18707, 18718, 18723, 18884",358.15,32.3912552680328,"Mesophile",-12.451973183967,-40.1852338029476,32.3912552680328,0.104411321961235,0.095226936402367,0.171614963009721,0.148782864288959,0.000527668220954619,-0.171614963009721,1.50664222895371e-08
"20","Euryarchaeota","Methanobacterium espanolae","Methanobacterium","Methanobacteriaceae","Methanobacteriales","Methanobacteria","Archaea",3.61e-06,"s^-1",35,"Celsius",2.88e-18,"m^3","corkrey, engqvist, gold, methanogen","423, 555, 12331, 18567",308.15,37.6470163045463,"Mesophile",-12.5318027856195,-40.388741379745,37.6470163045463,0.104411321961235,0.095226936402367,0.171614963009721,0.148782864288959,0.000527668220954619,-0.171614963009721,5.64444423869118e-09
"21","Euryarchaeota","Archaeoglobus fulgidus","Archaeoglobus","Archaeoglobaceae","Archaeoglobales","Archaeoglobi","Archaea",3.31e-07,"s^-1",77.667,"Celsius",2.88e-19,"m^3","corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva","20, 555, 4624, 7758, 12331, 12431, 14068, 16996, 18701, 18707, 18718, 18723, 18804",350.817,33.0683178815335,"Mesophile",-14.9211474615693,-42.691326472739,33.0683178815335,0.104411321961235,0.095226936402367,0.171614963009721,0.148782864288959,0.000527668220954619,-0.171614963009721,1.13553082104558e-09
"22","Euryarchaeota","Methanohalophilus portucalensis","Methanohalophilus","Methanosarcinaceae","Methanosarcinales","Methanomicrobia","Archaea",1.11e-05,"s^-1",38.5,"Celsius",7.54e-19,"m^3","corkrey, engqvist, gold, methanogen, patric","429, 555, 12331, 18639, 18707",311.65,37.2242197152124,"Mesophile",-11.408565449646,-41.728894584867,37.2242197152124,0.104411321961235,0.095226936402367,0.171614963009721,0.148782864288959,0.000527668220954619,-0.171614963009721,1.86615880781588e-08
"23","Euryarchaeota","Haloferax volcanii","Haloferax","Haloferacaceae","Haloferacales","Halobacteria","Archaea",1.85e-05,"s^-1",42,"Celsius",3.53e-18,"m^3","corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, bergeys","149, 555, 4713, 12331, 13035, 15127, 18701, 18707, 18718, 18723",315.15,36.810814133733,"Mesophile",-10.89773982588,-40.1852338029476,36.810814133733,0.104411321961235,0.095226936402367,0.171614963009721,0.148782864288959,0.000527668220954619,-0.171614963009721,3.33894340841158e-08
"24","Euryarchaeota","Methanobacterium congolense","Methanobacterium","Methanobacteriaceae","Methanobacteriales","Methanobacteria","Archaea",6.64e-06,"s^-1",39.5,"Celsius",9.3e-19,"m^3","corkrey, engqvist, genbank, gold, methanogen, rrndb","206, 555, 6735, 12331, 18566, 18723",312.65,37.1051593610937,"Mesophile",-11.9223985944759,-41.5191023667277,37.1051593610937,0.104411321961235,0.095226936402367,0.171614963009721,0.148782864288959,0.000527668220954619,-0.171614963009721,1.13937697317334e-08
"25","Euryarchaeota","Methanothermobacter defluvii","Methanothermobacter","Methanobacteriaceae","Methanobacteriales","Methanobacteria","Archaea",5.61e-06,"s^-1",60,"Celsius",5.49e-19,"m^3","corkrey, engqvist, gold, methanogen, bergeys","506, 555, 12331, 18688",333.15,34.8219362876961,"Mesophile",-12.0909598384297,-42.0461885113654,34.8219362876961,0.104411321961235,0.095226936402367,0.171614963009721,0.148782864288959,0.000527668220954619,-0.171614963009721,1.42440701541718e-08
"26","Euryarchaeota","Methanolobus taylorii","Methanolobus","Methanosarcinaceae","Methanosarcinales","Methanomicrobia","Archaea",1.3e-05,"s^-1",33,"Celsius",1.31e-19,"m^3","engqvist, gold, methanogen","555, 12331, 18647",306.15,37.8929546766158,"Mesophile",-11.2505612005027,-43.4790896296738,37.8929546766158,0.104411321961235,0.095226936402367,0.171614963009721,0.148782864288959,0.000527668220954619,-0.171614963009721,1.94862019205137e-08
