"ConPhylum","Intercept2","Slope2","E2","TempPref","Intercept","Slope","E","GenusSpecies","ConGenus","ConFamily","ConOrder","ConClass","Superkingdom","GrowthRate","RateUnit","Optimum.Temp","TempUnit","AverageVolume","VolumeUnit","Sources","Notes","Author","Temp","arrhenius_tmp","lograte"
"1","Actinobacteria",-25.0696992603962,0.409331538736329,0.409331538736329,"Thermophile",-6.309175993,-0.128561936,0.128561936,"Rubrobacter xylanophilus","Rubrobacter","Rubrobacteraceae","Rubrobacterales","Rubrobacteria","Bacteria",5.99e-05,"s^-1",60.1472,"Celsius",1.27e-18,"m^3","https://books.google.co.uk/books?id=66UMS7A2KisC&pg=PA2006&lpg=PA2006&dq=Rubrobacter+xylanophilus+cell+volume&source=bl&ots=_8IUoOsVAb&sig=ISGSN_kQXz9eLGaLTAua_OkTDaI&hl=en&sa=X&ved=0ahUKEwij1MrJ1YrbAhUJXMAKHdoNCm84ChDoAQgvMAE#v=onepage&q=Rubrobacter%20xylanophilus%20cell%20volume&f=false","pg. 2008 of Bergey’s Manual of Systematic Bacteriology Volume 5: The Actinobacteria","Hira",333.2972,34.8065572535441,-9.72283405284287
"2","Actinobacteria",-25.0696992603962,0.409331538736329,0.409331538736329,"Thermophile",-6.309175993,-0.128561936,0.128561936,"Rubrobacter taiwanensis","Rubrobacter","Rubrobacteraceae","Rubrobacterales","Rubrobacteria","Bacteria",6.58e-06,"s^-1",60,"Celsius",1.25e-18,"m^3","corkrey, engqvist, fierer, gold, bergeys","354, 555, 3645, 12331","Madin",333.15,34.8219362876961,-11.931475812627
"3","Actinobacteria",-25.0696992603962,0.409331538736329,0.409331538736329,"Thermophile",-6.309175993,-0.128561936,0.128561936,"Rubrobacter radiotolerans","Rubrobacter","Rubrobacteraceae","Rubrobacterales","Rubrobacteria","Bacteria",3.14e-05,"s^-1",50.2169,"Celsius",1.62e-18,"m^3","https://books.google.co.uk/books?id=66UMS7A2KisC&pg=PA2006&lpg=PA2006&dq=Rubrobacter+xylanophilus+cell+volume&source=bl&ots=_8IUoOsVAb&sig=ISGSN_kQXz9eLGaLTAua_OkTDaI&hl=en&sa=X&ved=0ahUKEwij1MrJ1YrbAhUJXMAKHdoNCm84ChDoAQgvMAE#v=onepage&q=Rubrobacter%20xylanophilus%20cell%20volume&f=false","pg. 2008 of Bergey’s Manual of Systematic Bacteriology Volume 5: The Actinobacteria","Hira",323.3669,35.8754346046115,-10.3687026650501
"4","Aquificae",-48.8575491014297,1.09972131414319,1.09972131414319,"Thermophile",-48.8575491,1.099721314,1.099721314,"Thermovibrio ammonificans","Thermovibrio","Desulfurobacteriaceae","Desulfurobacteriales","Aquificae","Bacteria",2.75e-06,"s^-1",74,"Celsius",2.26e-19,"m^3","corkrey, engqvist, fierer, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb","361, 555, 4206, 5309, 12331, 13963, 15308, 18701, 18707, 18718, 18723","Madin",347.15,33.417623719562,-12.8039096462858
"5","Aquificae",-48.8575491014297,1.09972131414319,1.09972131414319,"Thermophile",-48.8575491,1.099721314,1.099721314,"Hydrogenivirga caldilitoris","Hydrogenivirga","Aquificaceae","Aquificales","Aquificae","Bacteria",2.93e-06,"s^-1",75,"Celsius",1.34e-19,"m^3","corkrey, engqvist, fierer, gold","360, 555, 2055, 12331","Madin",348.15,33.3216374385924,-12.7405081349353
"6","Aquificae",-48.8575491014297,1.09972131414319,1.09972131414319,"Thermophile",-48.8575491,1.099721314,1.099721314,"Hydrogenobacter thermophilus","Hydrogenobacter","Aquificaceae","Aquificales","Aquificae","Bacteria",2.96e-06,"s^-1",71.667,"Celsius",2.97e-19,"m^3","corkrey, engqvist, genbank, gold, jemma-refseq, kegg, mediadb, microbe-directory, patric, protraits, rrndb","251, 555, 5102, 7623, 12331, 13070, 15094, 15999, 18560, 18701, 18707, 18718, 18723","Madin",344.817,33.6437242776486,-12.7303212896283
"7","Aquificae",-48.8575491014297,1.09972131414319,1.09972131414319,"Thermophile",-48.8575491,1.099721314,1.099721314,"Thermosulfidibacter takaii","Thermosulfidibacter",NA,"Aquificales","Aquificae","Bacteria",1.22e-06,"s^-1",70,"Celsius",4.19e-19,"m^3","corkrey, engqvist, fierer, genbank, gold, kegg, rrndb","174, 555, 4201, 6591, 12331, 17845, 18723","Madin",343.15,33.8071632645955,-13.6166596992191
"8","Aquificae",-48.8575491014297,1.09972131414319,1.09972131414319,"Thermophile",-48.8575491,1.099721314,1.099721314,"Persephonella marina","Persephonella","Hydrogenothermaceae","Aquificales","Aquificae","Bacteria",5.76e-05,"s^-1",73.1051,"Celsius",3.1e-19,"m^3","http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-52-4-1349#tab2",NA,"Hira",346.2551,33.5039919245838,-9.76198799026243
"9","Aquificae",-48.8575491014297,1.09972131414319,1.09972131414319,"Thermophile",-48.8575491,1.099721314,1.099721314,"Persephonella guaymasensis","Persephonella","Hydrogenothermaceae","Aquificales","Aquificae","Bacteria",4.18e-05,"s^-1",70.088,"Celsius",3.1e-19,"m^3","http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-52-4-1349#tab2",NA,"Hira",343.238,33.7984957208874,-10.0826142184336
"10","Aquificae",-48.8575491014297,1.09972131414319,1.09972131414319,"Thermophile",-48.8575491,1.099721314,1.099721314,"Sulfurihydrogenibium kristjanssonii","Sulfurihydrogenibium","Hydrogenothermaceae","Aquificales","Aquificae","Bacteria",0.00012366,"s^-1",68.0546,"Celsius",3.6e-19,"m^3","https://www.researchgate.net/publication/5401401_Sulfurihydrogenibium_kristjanssonii_sp_nov_a_hydrogen-_and_sulfur-oxidizing_thermophile_isolated_from_a_terrestrial_Icelandic_hot_spring",NA,"Hira",341.2046,33.9999169830827,-8.99797469383385
"11","Aquificae",-48.8575491014297,1.09972131414319,1.09972131414319,"Thermophile",-48.8575491,1.099721314,1.099721314,"Sulfurihydrogenibium rodmanii","Sulfurihydrogenibium","Hydrogenothermaceae","Aquificales","Aquificae","Bacteria",3.69e-06,"s^-1",75,"Celsius",3.6e-19,"m^3","bacdive-microa, corkrey, engqvist, fierer, gold","1, 178, 555, 4091, 12331","Madin",348.15,33.3216374385924,-12.5098840999118
"12","Aquificae",-48.8575491014297,1.09972131414319,1.09972131414319,"Thermophile",-48.8575491,1.099721314,1.099721314,"Sulfurihydrogenibium azorense","Sulfurihydrogenibium","Hydrogenothermaceae","Aquificales","Aquificae","Bacteria",2.76e-06,"s^-1",68,"Celsius",2.07e-19,"m^3","corkrey, engqvist, fierer, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb","168, 555, 4089, 4727, 12331, 13869, 14915, 18701, 18707, 18718, 18723","Madin",341.15,34.0053585644026,-12.8002798782352
