ConPhylum,TempPref,GenusSpecies,ConGenus,ConFamily,ConOrder,ConClass,Superkingdom,GrowthRate,RateUnit,Optimum.Temp,TempUnit,AverageVolume,VolumeUnit,Sources,Notes,Author,Temp,Unit,arrhenius_tmp,x,y,z,r.sqr,lntercept,a,RE,E,TCorrected_GrowthRate
Actinobacteria,Mesophile,Mycobacterium tuberculosis,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Bacteria,3.38E-06,s^-1,36.898,Celsius,3.74E-19,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, mediadb, pasteur, patric, protraits, rrndb, silva, bergeys","555, 4392, 7950, 9140, 9151, 9461, 9472, 9705, 9715, 9903, 10055, 10207, 10313, 10322, 10420, 10494, 10501, 10572, 10580, 10649, 10657, 10720, 10727, 10783, 10790, 10842, 10894, 10938, 10945, 10989, 10996, 11071, 7489, 11181, 11187, 11217, 11224, 11250, 11256, 11343, 11359, 11365, 11380, 11436, 11446, 11451, 11471, 11732, 11779, 11780, 11786, 11789, 11793, 12297, 12298, 12299, 12300, 12301, 12302, 12331, 13345, 14072, 14107, 14579, 14584, 14979, 15593, 15674, 15885, 15886, 15887, 15888, 16034, 16035, 16070, 16388, 16478, 16479, 16514, 16515, 16516, 16536, 16604, 16688, 16920, 16921, 16922, 18560, 18707, 18718, 18723, 18894",Madin,310.048,K,37.4165551,-12.59763485,-42.43003116,37.4165551,0.012894773,-26.59932015,-0.12677551,0.266099424,-0.266099424,1.60E-10
Actinobacteria,Mesophile,Microlunatus phosphovorus,Microlunatus,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Bacteria,6.91E-06,s^-1,37,Celsius,2.87E-18,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, pasteur, protraits, rrndb, bergeys","555, 5458, 12331, 13312, 15447, 18701, 18718, 18723",Madin,310.15,K,37.4042498,-11.88254092,-40.39221964,37.4042498,0.012894773,-26.59932015,-0.12677551,0.266099424,-0.266099424,3.29E-10
Actinobacteria,Mesophile,Demequina aestuarii,Demequina,Demequinaceae,Micrococcales,Actinobacteria,Bacteria,1.73E-05,s^-1,28,Celsius,5.65E-20,m^3,"engqvist, gold, patric, bergeys","555, 12331, 18707",Madin,301.15,K,38.52209223,-10.96480406,-44.32004631,38.52209223,0.012894773,-26.59932015,-0.12677551,0.266099424,-0.266099424,6.11E-10
Actinobacteria,Mesophile,Corynebacterium pseudodiphtheriticum,Corynebacterium,Corynebacteriaceae,Corynebacteriales,Actinobacteria,Bacteria,0.000102941,s^-1,37,Celsius,1.40E-19,m^3,"bacdive-microa, engqvist, gold, masonmm, microbe-directory, pasteur, patric, protraits, bergeys","1, 555, 12331, 18541, 18701, 18707, 18718",Madin,310.15,K,37.4042498,-9.181354549,-43.41264453,37.4042498,0.012894773,-26.59932015,-0.12677551,0.266099424,-0.266099424,4.90E-09
Actinobacteria,Mesophile,Corynebacterium glutamicum,Corynebacterium,Corynebacteriaceae,Corynebacteriales,Actinobacteria,Bacteria,6.22E-05,s^-1,32.818,Celsius,9.74E-19,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, mediadb, microbe-directory, pasteur, patric, protraits, rrndb, silva, bergeys","555, 4449, 7887, 7998, 8646, 8747, 9096, 9192, 9422, 9671, 9750, 5584, 9939, 10025, 10094, 10169, 10230, 10288, 10344, 10391, 10439, 10474, 10521, 12331, 12779, 14153, 14286, 14540, 16370, 16547, 16548, 16644, 17117, 17394, 18560, 18701, 18707, 18718, 18751, 18723, 18845",Madin,305.968,K,37.91549467,-9.685155558,-41.47287565,37.91549467,0.012894773,-26.59932015,-0.12677551,0.266099424,-0.266099424,2.58E-09
Actinobacteria,Mesophile,Corynebacterium diphtheriae,Corynebacterium,Corynebacteriaceae,Corynebacteriales,Actinobacteria,Bacteria,0.000104517,s^-1,37,Celsius,1.03E-18,m^3,"bacdive-microa, engqvist, genbank, gold, jemma-refseq, kegg, masonmm, microbe-directory, pasteur, patric, protraits, rrndb, bergeys","1, 555, 4607, 7766, 8091, 8568, 8806, 9043, 9242, 9378, 9544, 9637, 9780, 9846, 9959, 10006, 10113, 4576, 10243, 10274, 12331, 12774, 14201, 15590, 15591, 15596, 15597, 15598, 15599, 15600, 15601, 15602, 15603, 15604, 15605, 17973, 18540, 18701, 18707, 18718, 18723",Madin,310.15,K,37.4042498,-9.16616082,-41.41697287,37.4042498,0.012894773,-26.59932015,-0.12677551,0.266099424,-0.266099424,4.97E-09
Actinobacteria,Mesophile,Nakamurella multipartita,Nakamurella,Nakamurellaceae,Nakamurellales,Actinobacteria,Bacteria,1.04E-05,s^-1,25,Celsius,7.18E-18,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, pasteur, patric, protraits, rrndb, bergeys","555, 5417, 12331, 13384, 15030, 18701, 18707, 18718, 18723",Madin,298.15,K,38.90970342,-11.47370475,-39.47523229,38.90970342,0.012894773,-26.59932015,-0.12677551,0.266099424,-0.266099424,3.31E-10
Actinobacteria,Mesophile,Rhodococcus jostii,Rhodococcus,Nocardiaceae,Corynebacteriales,Actinobacteria,Bacteria,1.82E-05,s^-1,28.929,Celsius,2.62E-18,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, pasteur, patric, protraits, rrndb, silva, bergeys","555, 4793, 12331, 13642, 14421, 18701, 18707, 18718, 18723, 18935",Madin,302.079,K,38.40362314,-10.91408896,-40.48335736,38.40362314,0.012894773,-26.59932015,-0.12677551,0.266099424,-0.266099424,6.64E-10
Actinobacteria,Mesophile,Mycobacterium leprae,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Bacteria,2.47E-07,s^-1,35.938,Celsius,5.49E-19,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva, bergeys","555, 4566, 7795, 8077, 12331, 13335, 14101, 14881, 18701, 18707, 18718, 18756, 18723, 18895",Madin,309.088,K,37.53276761,-15.2138775,-42.04618851,37.53276761,0.012894773,-26.59932015,-0.12677551,0.266099424,-0.266099424,1.14E-11
Bacillariophyta,Mesophile,Chaetoceros criophilus,Chaetoceros,Corethraceae,Corethrales,Bacillariophyceae,Phytoplankton,3.01E-06,s^-1,4,Celsius,3.80E-14,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),NA,Hira,277.15,K,41.85794001,-12.71357048,-30.90119024,41.85794001,0.147052844,16.30677815,-0.066369453,-0.731798223,0.731798223,60490423.52
