species_tax_id,Species,MinWidth,MaxWidth,MinLength,MaxLength,SizeUnit,Volume,VolumeUnit,Shape,Superkingdom,Phylum,Source,Note,Growth_rate
14,Dictyoglomus thermophilum,0.4,0.6,5,20,um,2.42E-18,m^3,rod,Bacteria,Dictyoglomota,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, bergeys","286, 555, 5040, 12331, 12893, 14813, 18701, 18707, 18718, 18723",0.004933151
34,Myxococcus xanthus,0.7,0.8,4,8,um,2.54E-18,m^3,rod,Bacteria,Myxococcota,"engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, pasteur, patric, protraits, rrndb, silva, bergeys","555, 4697, 12331, 13383, 14405, 18701, 18707, 18718, 18723, 18904",0.086643398
56,Sorangium cellulosum_B,0.8,1.2,3,8,um,4.06E-18,m^3,rod,Bacteria,Myxococcota,"engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva, bergeys","555, 4988, 7652, 8164, 12331, 13752, 14673, 16573, 18701, 18707, 18718, 18723, 18950",0.043775873
228,Pseudoalteromonas distincta,0.8,1.2,1.8,3,um,2.51E-18,m^3,oval,Bacteria,Proteobacteria,"corkrey, engqvist, genbank, gold, kegg, microbe-directory, pasteur, patric, protraits, rrndb, silva, bergeys","276, 555, 4976, 12331, 14321, 18701, 18707, 18718, 18723, 18924",0.599090044
235,Brucella melitensis,0.564,0.7,0.829,1.5,um,2.99E-19,m^3,rod,Bacteria,Proteobacteria,"engqvist, genbank, gold, kegg, microbe-directory, patric, protraits, rrndb, silva","555, 4465, 7875, 8010, 8635, 8759, 9088, 9200, 9413, 9513, 9665, 9756, 9866, 9943, 10020, 10098, 10165, 10234, 10284, 12331, 14284, 14343, 14742, 15607, 17077, 17144, 17196, 17197, 17208, 17409, 17410, 18701, 18707, 18718, 18723, 18822",0.10667085
266,Paracoccus denitrificans_A,0.4,0.5,1.1,1.7,um,2.97E-19,m^3,oval,Bacteria,Proteobacteria,"engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, pasteur, patric, protraits, rrndb, silva, bergeys","555, 4960, 12331, 13489, 14479, 18701, 18707, 18718, 18723, 18914",0.165035043
287,Pseudomonas aeruginosa,0.5,1,1,5,um,1.21E-18,m^3,rod,Bacteria,Proteobacteria,"bacdive-microa, corkrey, engqvist, genbank, gold, jemma-refseq, kegg, masonmm, mediadb, microbe-directory, pasteur, patric, protraits, rrndb, silva","1, 36, 555, 4420, 7913, 7977, 8665, 8728, 9115, 9176, 9438, 9492, 9685, 9738, 9882, 9927, 10037, 10081, 10180, 10222, 10297, 10337, 10398, 10432, 10481, 10514, 10561, 10592, 10636, 10670, 10710, 4607, 10775, 10798, 5584, 11192, 11212, 11228, 11261, 11279, 11291, 11311, 11322, 11389, 11417, 11424, 11431, 11438, 11443, 11455, 11460, 11466, 11468, 11475, 11480, 11486, 11492, 11499, 11501, 11512, 11531, 11536, 11538, 11543, 11550, 11557, 11559, 7162, 8186, 11600, 11607, 11609, 11616, 11637, 11646, 11663, 11672, 11673, 11683, 11685, 11692, 11699, 11706, 11708, 11712, 11713, 11719, 11721, 12291, 12331, 13577, 14090, 14440, 14608, 14857, 15867, 15868, 16054, 16489, 16566, 16752, 16753, 16775, 16794, 16795, 16839, 16843, 16897, 16898, 16938, 16939, 17497, 18540, 18560, 18701, 18707, 18718, 18723, 18857",0.442340256
353,Azotobacter chroococcum,1.5,2.3,3,7,um,1.24E-17,m^3,rod,Bacteria,Proteobacteria,"engqvist, genbank, gold, kegg, masonmm, pasteur, patric, rrndb","555, 6115, 7274, 12331, 17366, 18539, 18707, 18723",0.884685585
398,Rhizobium sp900467885,0.5,0.7,1.5,2,um,4.38E-19,m^3,rod,Bacteria,Proteobacteria,"engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, pasteur, patric, protraits, rrndb, bergeys","555, 5528, 12331, 13634, 16301, 18701, 18707, 18718, 18723",0.216608494
405,Methylobacillus flagellatus,0.5,0.6,1.4,1.8,um,3.37E-19,m^3,rod,Bacteria,Proteobacteria,"engqvist, genbank, gold, jemma-refseq, kegg, patric, protraits, rrndb, silva, bergeys","555, 4703, 12331, 13287, 14381, 18707, 18718, 18723, 18889",0.177457035
442,Gluconobacter oxydans_C,0.8,NA,4,NA,um,1.88E-18,m^3,rod,Bacteria,Proteobacteria,"engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, pasteur, patric, protraits, rrndb, silva","555, 4753, 7708, 8129, 8535, 8831, 12331, 13004, 13005, 14274, 16220, 17290, 18701, 18707, 18718, 18723, 18861",0.368695309
498,Psychrobacter immobilis,0.9,1.3,NA,NA,um,1.39E-18,m^3,oval,Bacteria,Proteobacteria,"bacdive-microa, corkrey, engqvist, gold, pasteur, bergeys","1, 276, 555, 12331",0.196025786
